chunk_size,chunks,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr_at_10
400,36263,0.5766666666666667,0.7133333333333334,0.7566666666666667,0.8333333333333334,0.6569722222222224
600,21565,0.53,0.72,0.7833333333333333,0.8333333333333334,0.6396375661375661
800,14567,0.5266666666666666,0.7033333333333334,0.7733333333333333,0.8166666666666667,0.6243095238095238
1000,11442,0.49666666666666665,0.68,0.77,0.8333333333333334,0.6095515873015872
1200,9304,0.5133333333333333,0.7033333333333334,0.75,0.82,0.6186653439153438
