query_id,stratum,relevant_documents,relevant_over_limit
727,all_over_limit,1,1
728,all_over_limit,2,2
729,all_over_limit,1,1
742,all_over_limit,1,1
743,all_over_limit,1,1
744,all_within_limit,1,0
75,all_over_limit,1,1
756,all_over_limit,1,1
759,all_over_limit,1,1
768,all_over_limit,1,1
770,all_over_limit,1,1
775,all_over_limit,1,1
781,all_over_limit,1,1
783,all_over_limit,1,1
784,all_over_limit,1,1
785,all_over_limit,1,1
793,all_within_limit,1,0
800,all_within_limit,1,0
805,all_over_limit,1,1
808,all_within_limit,1,0
811,all_over_limit,1,1
814,all_over_limit,1,1
820,all_over_limit,1,1
821,all_over_limit,1,1
823,all_over_limit,1,1
830,all_within_limit,1,0
831,all_within_limit,1,0
832,all_over_limit,1,1
834,all_within_limit,1,0
837,all_over_limit,1,1
839,all_over_limit,1,1
845,all_within_limit,1,0
847,all_over_limit,1,1
852,all_over_limit,1,1
859,all_over_limit,1,1
870,all_over_limit,1,1
873,mixed,5,3
879,all_within_limit,1,0
880,all_within_limit,1,0
882,all_over_limit,1,1
887,all_over_limit,1,1
903,all_over_limit,1,1
904,all_over_limit,1,1
907,all_within_limit,1,0
911,all_over_limit,1,1
913,all_over_limit,1,1
914,all_over_limit,1,1
921,all_over_limit,1,1
922,all_over_limit,1,1
936,all_within_limit,1,0
94,all_over_limit,1,1
956,all_within_limit,1,0
957,all_over_limit,1,1
960,all_over_limit,1,1
967,all_over_limit,2,2
971,all_over_limit,4,4
975,all_over_limit,1,1
982,all_within_limit,1,0
985,all_over_limit,1,1
99,all_over_limit,1,1
993,all_over_limit,1,1
